2017-10-26 16:24:24.447 INFO  NServiceBus.LicenseManager No valid license could be found, falling back to trial license with start date '13/10/2017'

2017-10-26 16:24:24.537 INFO  NServiceBus.PerformanceMonitorUsersInstaller Did not attempt to add user 'ESENDEX\scott.lyons' to group 'Performance Monitor Users' since the process is not running with elevated privileges. Processing will continue. To manually perform this action, run the following command from an admin console:
net localgroup "Performance Monitor Users" "ESENDEX\scott.lyons" /add
2017-10-26 16:24:24.597 WARN  NServiceBus.QueuePermissions Queue [private$\error] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-10-26 16:24:24.604 WARN  NServiceBus.QueuePermissions Queue [private$\error] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-10-26 16:24:24.608 WARN  NServiceBus.QueuePermissions Queue [private$\NServiceBus.Subscriptions] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-10-26 16:24:24.612 WARN  NServiceBus.QueuePermissions Queue [private$\NServiceBus.Subscriptions] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-10-26 16:24:24.622 WARN  NServiceBus.QueuePermissions Queue [private$\Publisher.Example.Retries] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-10-26 16:24:24.626 WARN  NServiceBus.QueuePermissions Queue [private$\Publisher.Example.Retries] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-10-26 16:24:24.630 WARN  NServiceBus.QueuePermissions Queue [private$\Publisher.Example] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-10-26 16:24:24.636 WARN  NServiceBus.QueuePermissions Queue [private$\Publisher.Example] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-10-26 16:24:24.647 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-10-26 16:24:24.649 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-10-26 16:24:24.655 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-10-26 16:26:47.932 INFO  DefaultFactory Logging to 'C:\git\CommandQueueTest\Publisher\src\Publisher\bin\Debug\' with level Info
2017-10-26 16:26:48.058 WARN  NServiceBus.Features.MsmqSubscriptionPersistence Could not find configuration section for Msmq Subscription Storage and no name was specified for this endpoint. Going to default the subscription queue
2017-10-26 16:26:48.113 INFO  NServiceBus.LicenseManager No valid license could be found, falling back to trial license with start date '13/10/2017'

2017-10-26 16:26:48.186 INFO  NServiceBus.PerformanceMonitorUsersInstaller Did not attempt to add user 'ESENDEX\scott.lyons' to group 'Performance Monitor Users' since the process is not running with elevated privileges. Processing will continue. To manually perform this action, run the following command from an admin console:
net localgroup "Performance Monitor Users" "ESENDEX\scott.lyons" /add
2017-10-26 16:26:48.286 WARN  NServiceBus.QueuePermissions Queue [private$\error] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-10-26 16:26:48.293 WARN  NServiceBus.QueuePermissions Queue [private$\error] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-10-26 16:26:48.306 WARN  NServiceBus.QueuePermissions Queue [private$\NServiceBus.Subscriptions] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-10-26 16:26:48.315 WARN  NServiceBus.QueuePermissions Queue [private$\NServiceBus.Subscriptions] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-10-26 16:26:48.326 WARN  NServiceBus.QueuePermissions Queue [private$\Publisher.Example.Retries] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-10-26 16:26:48.339 WARN  NServiceBus.QueuePermissions Queue [private$\Publisher.Example.Retries] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-10-26 16:26:48.353 WARN  NServiceBus.QueuePermissions Queue [private$\Publisher.Example] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-10-26 16:26:48.365 WARN  NServiceBus.QueuePermissions Queue [private$\Publisher.Example] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-10-26 16:26:48.389 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-10-26 16:26:48.398 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-10-26 16:26:48.404 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-10-26 16:26:54.681 INFO  NServiceBus.Unicast.UnicastBus Initiating shutdown.
2017-10-26 16:27:17.224 INFO  DefaultFactory Logging to 'C:\git\CommandQueueTest\Publisher\src\Publisher\bin\Debug\' with level Info
2017-10-26 16:27:17.348 WARN  NServiceBus.Features.MsmqSubscriptionPersistence Could not find configuration section for Msmq Subscription Storage and no name was specified for this endpoint. Going to default the subscription queue
2017-10-26 16:27:17.410 INFO  NServiceBus.LicenseManager No valid license could be found, falling back to trial license with start date '13/10/2017'

2017-10-26 16:27:17.482 INFO  NServiceBus.PerformanceMonitorUsersInstaller Did not attempt to add user 'ESENDEX\scott.lyons' to group 'Performance Monitor Users' since the process is not running with elevated privileges. Processing will continue. To manually perform this action, run the following command from an admin console:
net localgroup "Performance Monitor Users" "ESENDEX\scott.lyons" /add
2017-10-26 16:27:17.562 WARN  NServiceBus.QueuePermissions Queue [private$\error] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-10-26 16:27:17.567 WARN  NServiceBus.QueuePermissions Queue [private$\error] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-10-26 16:27:17.571 WARN  NServiceBus.QueuePermissions Queue [private$\NServiceBus.Subscriptions] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-10-26 16:27:17.578 WARN  NServiceBus.QueuePermissions Queue [private$\NServiceBus.Subscriptions] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-10-26 16:27:17.585 WARN  NServiceBus.QueuePermissions Queue [private$\Publisher.Example.Retries] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-10-26 16:27:17.589 WARN  NServiceBus.QueuePermissions Queue [private$\Publisher.Example.Retries] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-10-26 16:27:17.596 WARN  NServiceBus.QueuePermissions Queue [private$\Publisher.Example] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-10-26 16:27:17.601 WARN  NServiceBus.QueuePermissions Queue [private$\Publisher.Example] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-10-26 16:27:17.612 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-10-26 16:27:17.615 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-10-26 16:27:17.617 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-10-26 16:27:40.711 INFO  NServiceBus.Unicast.UnicastBus Initiating shutdown.
2017-10-26 16:28:36.650 INFO  DefaultFactory Logging to 'C:\git\CommandQueueTest\Publisher\src\Publisher\bin\Debug\' with level Info
2017-10-26 16:28:36.801 WARN  NServiceBus.Features.MsmqSubscriptionPersistence Could not find configuration section for Msmq Subscription Storage and no name was specified for this endpoint. Going to default the subscription queue
2017-10-26 16:28:36.861 INFO  NServiceBus.LicenseManager No valid license could be found, falling back to trial license with start date '13/10/2017'

