2017-10-26 16:26:48.399 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-10-26 16:27:06.003 INFO  NServiceBus.Unicast.UnicastBus Initiating shutdown.
2017-10-26 16:27:17.355 INFO  DefaultFactory Logging to 'C:\git\CommandQueueTest\Publisher\src\Subscriber\bin\Debug\' with level Info
2017-10-26 16:27:17.491 WARN  NServiceBus.Features.MsmqSubscriptionPersistence Could not find configuration section for Msmq Subscription Storage and no name was specified for this endpoint. Going to default the subscription queue
2017-10-26 16:27:17.552 INFO  NServiceBus.LicenseManager No valid license could be found, falling back to trial license with start date '13/10/2017'

2017-10-26 16:27:17.614 INFO  NServiceBus.PerformanceMonitorUsersInstaller Did not attempt to add user 'ESENDEX\scott.lyons' to group 'Performance Monitor Users' since the process is not running with elevated privileges. Processing will continue. To manually perform this action, run the following command from an admin console:
net localgroup "Performance Monitor Users" "ESENDEX\scott.lyons" /add
2017-10-26 16:27:17.698 WARN  NServiceBus.QueuePermissions Queue [private$\error] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-10-26 16:27:17.703 WARN  NServiceBus.QueuePermissions Queue [private$\error] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-10-26 16:27:17.711 WARN  NServiceBus.QueuePermissions Queue [private$\NServiceBus.Subscriptions] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-10-26 16:27:17.720 WARN  NServiceBus.QueuePermissions Queue [private$\NServiceBus.Subscriptions] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
